,variance
INC_1,0.24847790433825354
DEC_1,0.24757371989292196
AOBV_LR_2,0.24516809155213146
AOBV_SR_2,0.24516809155213146
AMATe_LR_8_21_2,0.2439958661903799
AMATe_SR_8_21_2,0.2439958661903799
SUPERTd_7_3.0,0.239899212467791
CHDLREXTd_22_22_14_2.0,0.2303605158966755
SMCbf_14_50_20_5,0.19914869790181514
THERMOs_20_2_0.5,0.1860089899990149
SMCtf_14_50_20_5,0.16126005153436576
SQZPRO_ON_WIDE,0.15750384952379964
SQZPRO_OFF,0.15750384952379964
STC_10_12_26_0.5,0.14882181663016922
PVR,0.13401755870583798
AROOND_14,0.13386396698651776
AROONU_14,0.1317348044458839
STCstoch_10_12_26_0.5,0.12322891030999972
CTI_12,0.11514562794597659
SMChv_14_50_20_5,0.11167230917854361
STOCHRSIk_14_14_3_3,0.10669882880173608
AROONOSC_14,0.10643654438408624
WILLR_14,0.09935869355256188
STOCHFk_14_3,0.09935869355256188
STOCHRSId_14_14_3_3,0.09900751081460411
TMO_14_5_3,0.09000872113389774
STOCHFd_14_3,0.08981558249928516
STOCHk_14_3_3,0.08981558249928516
PSARaf_0.02_0.2,0.08840911162884006
STOCHd_14_3_3,0.08825429642843158
TMOs_14_5_3,0.08600871638767962
BBP_5_2.0_2.0,0.0829636782871228
PSARr_0.02_0.2,0.08277176082662366
EXHC_UPa,0.07996469438131555
BOP,0.07814224357114874
NVI_1,0.07710878373528647
K_9_3,0.07411378967612997
PVT,0.07249443530647653
AD,0.07245182105724828
THERMOl_20_2_0.5,0.06924476749913157
CRSI_3_2_100,0.06913123213855484
D_9_3,0.06610683401508936
J_9_3,0.06563041935788001
TOS_STDEVALL_U_3,0.054051597713453386
TOS_STDEVALL_U_2,0.054051597713453386
TOS_STDEVALL_LR,0.054051597713453366
TOS_STDEVALL_L_1,0.054051597713453366
TOS_STDEVALL_L_3,0.054051597713453366
TOS_STDEVALL_L_2,0.054051597713453366
TOS_STDEVALL_U_1,0.054051597713453345
ER_10,0.050713413644981435
OBVe_12,0.05053580652167766
ATRTSe_14_20_3.0,0.050174772351260125
OBVe_4,0.0495219116234635
SUPERTs_7_3.0,0.04951845547235693
OBV_min_2,0.04908133025889935
KCUe_20_2,0.04888211274934115
AGj_13_8_5,0.04730619204078841
OBV_max_2,0.04715708856276244
Adj Close,0.046983693488393895
OBV,0.04672425587474976
ACCBU_20,0.04656406236765392
DCU_20_20,0.046369171989184894
MEDIAN_30,0.04617481963581801
QTL_30_0.5,0.04617481963581801
KCBe_20_2,0.045329034023226876
CKSPs_10_3_20,0.04502761795779997
KAMA_10_2_30,0.044982558986615157
RMA_10,0.0449151304401472
AGt_13_8_5,0.04344642351761679
CHDLREXTl_22_22_14_2.0,0.04281770999717913
CKSPl_10_3_20,0.04249224016743208
SMMA_7,0.04245361521633513
HT_TL,0.041948525816846015
ALPHAT_14_1_50,0.04176085384691791
ALPHATl_14_1_50_2,0.04171710917805186
QQEs_14_5_4.236,0.04157789829404337
ACCBM_20,0.041533555132686036
ISB_26,0.04147650089896505
ISA_9,0.04136642341129034
HILOl_13_21,0.041240825882047846
RSX_14,0.04118906061434279
IKS_26,0.04099215455824367
MCGD_10,0.0409687042920012
SUPERTl_7_3.0,0.040874241077593805
HILOs_13_21,0.04042706576345017
DCM_20_20,0.04019301398606996
EMA_10,0.04018044201290284
PSARs_0.02_0.2,0.0400864827654813
KCLe_20_2,0.0399853199937918
SQZ_OFF,0.039851860300738104
SQZ_ON,0.039851860300738104
SQZPRO_ON_NORMAL,0.039851860300738104
HILO_13_21,0.039511042253845295
SSF_20,0.0394659118359979
AGl_13_8_5,0.039392251520693575
SUPERT_7_3.0,0.039301351072926274
ITS_9,0.039285690067353496
MFI_14,0.039254657875406135
SINWMA_14,0.03916099315989243
EXHC_DNa,0.03890243227403286
SMA_10,0.038457281071742365
TSIs_13_25_13,0.03840406283269725
CHDLREXTs_22_22_14_2.0,0.03837470513799843
VWMA_10,0.03831812795986119
ABER_SG_5_15,0.03801308234795058
TRIMA_10,0.03755379930952785
SSF3_20,0.037300530354438324
T3_10_0.7,0.037253527579495106
WMA_10,0.0372029042638374
SWMA_10,0.03718986897722851
LDECAY_1,0.0371369472769671
ACCBL_20,0.0369894410106442
QQEl_14_5_4.236,0.03684430351459335
PIVOTS_TRAD_D_R4,0.03679234731322621
PIVOTS_TRAD_D_R3,0.03679234731322621
SMIs_5_20_5_1.0,0.03654511464210552
ICS_26,0.036145515512776415
DCL_20_20,0.03609148285490606
PWMA_10,0.0358264238905719
ABER_ZG_5_15,0.03576583114420635
BBM_5_2.0_2.0,0.03569554119241437
PIVOTS_TRAD_D_R2,0.03562970749941159
High,0.0355786129204398
FWMA_10,0.035550274540543075
ALMA_9_6.0_0.85,0.03551141474534119
BBU_5_2.0_2.0,0.03494588533017824
PSARl_0.02_0.2,0.034938559525423754
JMA_7_0.0,0.03493150945522823
PIVOTS_TRAD_D_R1,0.034902931787467666
MIDPRICE_2,0.03481104504270782
VWAP_D,0.03473766831498106
HLC3,0.03473766831498106
SMI_5_20_5_1.0,0.034724075610438734
WCP,0.034709373712655756
OHLC4,0.034698314244586706
HL2,0.03463494872947036
Close,0.03456963900418583
MIDPOINT_2,0.03448779808945031
PIVOTS_TRAD_D_P,0.03434322517006964
Open,0.03409919408070822
TSI_13_25_13,0.033948966075646854
ZL_EMA_10,0.03380070479413449
ABER_XG_5_15,0.03375583929166669
DEMA_10,0.03356428720981578
Low,0.03354046458150475
PIVOTS_TRAD_D_S1,0.03313779890992564
HMA_10,0.033129581706084224
QQE_14_5_4.236,0.0330293767121314
TEMA_10,0.03274733534040107
PIVOTS_TRAD_D_S2,0.03218572409466193
BBL_5_2.0_2.0,0.03216473567033759
LINREG_14,0.03166952150678961
VTXM_14,0.03163245717069847
INERTIA_20_14,0.03155104544284102
HWM_1,0.030835804701665862
HWMA_0.2_0.1_0.1,0.030835804701665862
HWU_1,0.030251650784479
HWL_1,0.02979026943223492
PIVOTS_TRAD_D_S4,0.029291935287887857
PIVOTS_TRAD_D_S3,0.029291935287887857
ZS_30,0.029099614734726286
CHOP_14_1_100.0,0.028962880907918376
PSL_12,0.028022099982199733
VHF_28,0.027660075245417224
RWIl_14,0.02725458154333285
UO_7_14_28,0.027159105501125876
RWIh_14,0.026699674167168876
MAMA_0.5_0.05,0.02595837457161992
SMCbp_14_50_20_5,0.025763824687218058
DMP_14,0.025724502964461233
ADXR_14_2,0.025550837224956734
ADX_14,0.024471567408696496
QQE_14_5_4.236_RSIMA,0.024209718634995405
PVIe_255,0.023781708002501522
TRIXs_30_9,0.023751683742346832
TRIX_30_9,0.02353173724595527
ABER_ATR_5_15,0.023509143287063855
RVGIs_14_4,0.023505079880353514
SMCtp_14_50_20_5,0.023033901322066293
STOCHh_14_3_3,0.022999846241836024
VTXP_14,0.022907168517026098
RVGI_14_4,0.022579933989221857
THERMOma_20_2_0.5,0.02223385676457873
ATRr_14,0.022163660125538585
RVI_14,0.021175937293968317
DMN_14,0.020533301265435684
KVOs_34_55_13,0.0197007382657721
RSI_14,0.019119013442152694
CMO_14,0.019119013442152694
CMF_20,0.018481965447481756
HWW_1,0.017698435407011538
CCI_14_0.015,0.017507145404000172
BR_26,0.01701652202400061
AR_26,0.016350700781181428
FISHERTs_9_1,0.015541657385355314
FISHERT_9_1,0.015491913269076759
PVOs_12_26_9,0.015458336334780024
SKEW_30,0.01504546164792317
SMIo_5_20_5_1.0,0.015029544271913197
TRENDFLEX_20_20_0.04,0.014809002808754199
PGO_14,0.014278004989029834
FAMA_0.5_0.05,0.014022091493241868
MACDs_12_26_9,0.013604862927797997
QS_10,0.013536891979795877
STDEV_30,0.012721341977248416
MASSI_9_25,0.012232161449501313
MAD_30,0.011987922774234591
VIDYA_14,0.011781007078203135
KURT_30,0.011533969978186325
KSTs_9,0.011449929593954588
MACD_12_26_9,0.011149104277489613
STCmacd_10_12_26_0.5,0.011149104277489613
APO_12_26,0.01105868624156914
KST_10_15_20_30_10_10_10_15,0.010964431345698872
UI_14,0.010625181733353372
AO_5_34,0.010136347151774814
MACDh_12_26_9,0.010136291710580439
KVO_34_55_13,0.01006598999150481
PVO_12_26_9,0.009757284912642829
SQZPRO_20_2.0_20_2.0_1.5_1.0,0.009632393465577463
SQZ_20_2.0_20_1.5,0.009632393465577463
PPOs_12_26_9,0.00954581541279301
TSVs_18_10,0.009144633135358777
PPO_12_26_9,0.008608815439292072
ADOSC_3_10,0.008388117541024045
COPC_11_14_10,0.0080959033451412
BULLP_13,0.007877878092185228
THERMO_20_2_0.5,0.007831043088367058
NATR_14,0.007600604156246296
SMCbi_14_50_20_5,0.007428146695768392
MOM_10,0.007116450714362899
BEARP_13,0.007111626930709883
BIAS_SMA_26,0.00676820333190619
PVOh_12_26_9,0.006667811086273413
TSV_18_10,0.006638129301598569
TRUERANGE_1,0.006541120364276277
ENTP_10,0.0065269102802637076
SMCti_14_50_20_5,0.00639664287224419
PPOh_12_26_9,0.00608590391653163
BBB_5_2.0_2.0,0.006034076070619781
VAR_30,0.006023216983181642
ROC_10,0.005855441907666096
DPO_20,0.0058443724252015645
CG_10,0.004954427578899785
PDIST,0.0049018825605257055
SLOPE_1,0.004547474578547487
Volume,0.0038953215878914783
EFI_13,0.003843936127456512
VHM_610,0.003782207183088076
PCTRET_1,0.0033007635365360877
LOGRET_1,0.003225609072128963
CFO_9,0.003057371619677921
PVOL,0.0025414124942701784
PVI,0.0020676200221806298
TSVr_18_10,0.0003489399110026711
HWPCT_1,3.4848873513128844e-31
TMOM_14_5_3,0.0
SQZPRO_ON_NARROW,0.0
TMOMs_14_5_3,0.0
SQZPRO_NO,0.0
EOM_14_100000000,0.0
SQZ_NO,0.0
