,variance
INC_1,0.24867734590070312
DEC_1,0.2481720269961185
AOBV_SR_2,0.24778276219402215
AOBV_LR_2,0.2477827621940221
SUPERTd_7_3.0,0.24663431013814796
AMATe_LR_8_21_2,0.24578904942502444
AMATe_SR_8_21_2,0.24578904942502441
CHDLREXTd_22_22_14_2.0,0.23994282401217412
ZIGZAGs_5.0%_10,0.23609031136832132
SMCbf_14_50_20_5,0.19191093234481027
SQZPRO_ON_WIDE,0.18787224957821588
SQZPRO_OFF,0.18787224957821588
THERMOs_20_2_0.5,0.18630487444960941
SMCtf_14_50_20_5,0.16531520052456455
STC_10_12_26_0.5,0.14061720285766002
AROOND_14,0.1323021900011121
AROONU_14,0.13006069859826216
PVR,0.12914998411330378
CTI_12,0.11337895271038445
STCstoch_10_12_26_0.5,0.11284695063841285
STOCHRSIk_14_14_3_3,0.10907584456335195
SMChv_14_50_20_5,0.10761696923744232
AROONOSC_14,0.10338322499363783
STOCHRSId_14_14_3_3,0.10056426607327498
STOCHFk_14_3,0.09792014632752664
WILLR_14,0.09792014632752664
AD,0.09110658228688613
OBVe_12,0.08694464840081549
STOCHk_14_3_3,0.08678666994494198
STOCHFd_14_3,0.08678666994494198
TMO_14_5_3,0.08642517607328687
PVT,0.08623077881081313
OBVe_4,0.0849601794908853
OBV_max_2,0.08425427247441998
STOCHd_14_3_3,0.08425307096864443
OBV_min_2,0.0838577123442698
OBV,0.08342709512311092
BBP_5_2.0_2.0,0.08238874387434714
PSARaf_0.02_0.2,0.08090334658740035
TMOs_14_5_3,0.0808524998320755
PSARr_0.02_0.2,0.07933603513731374
BOP,0.07167195850610822
K_9_3,0.0711101424909014
THERMOl_20_2_0.5,0.07054525924632857
CRSI_3_2_100,0.07002567281935887
SQZPRO_ON_NORMAL,0.06618887837417231
SQZ_ON,0.06618887837417231
SQZ_OFF,0.0661888783741723
EXHC_UPa,0.06486433462833897
J_9_3,0.064170282588736
D_9_3,0.0629897661847409
TOS_STDEVALL_U_3,0.061405413344950616
TOS_STDEVALL_L_1,0.061405413344950616
TOS_STDEVALL_LR,0.06140541334495058
TOS_STDEVALL_L_3,0.06140541334495058
TOS_STDEVALL_L_2,0.06140541334495058
TOS_STDEVALL_U_2,0.06140541334495056
TOS_STDEVALL_U_1,0.06140541334495055
NVI_1,0.0612485354638363
ER_10,0.04928292893307032
Adj Close,0.04426260178657262
KAMA_10_2_30,0.04418956874548858
ATRTSe_14_20_3.0,0.043449465175002464
QTL_30_0.5,0.04245543962467009
MEDIAN_30,0.04245543962467009
CKSPs_10_3_20,0.0422347584182212
CKSPl_10_3_20,0.04218727314929305
ACCBU_20,0.04192013644248406
DCU_20_20,0.04186511116425894
ACCBM_20,0.041512559839383595
AGj_13_8_5,0.04149226853534021
HILOl_13_21,0.04146406403013187
ALPHAT_14_1_50,0.041430919283720384
DCM_20_20,0.04134855378956119
ALPHATl_14_1_50_2,0.041328752074627835
KCUe_20_2,0.04130048303609335
MCGD_10,0.04122830648061677
KCBe_20_2,0.04120772785439792
SINWMA_14,0.04117587180720324
RMA_10,0.041149314392553295
SMA_10,0.040968992131867436
SSF_20,0.040955287408546634
ITS_9,0.04093711569795213
EXHC_DNa,0.040895042200502066
CHDLREXTl_22_22_14_2.0,0.04089252916798078
AGt_13_8_5,0.0408918613440427
IKS_26,0.04076514619171422
SMMA_7,0.04073417520846058
HT_TL,0.040717686351514244
TRIMA_10,0.0406383273412504
T3_10_0.7,0.0405363778478374
SSF3_20,0.040525571067689496
KCLe_20_2,0.04050365030344494
QQEs_14_5_4.236,0.04049754903200238
EMA_10,0.040424043555928275
VWMA_10,0.04038108916213448
WMA_10,0.04028602515865737
AGl_13_8_5,0.040283062864651074
SWMA_10,0.040263672171924315
ACCBL_20,0.0402402645684832
CHDLREXTs_22_22_14_2.0,0.04018165449603007
ISB_26,0.04004281992134609
PSARs_0.02_0.2,0.03984838297006065
HILOs_13_21,0.039751697370791116
ABER_SG_5_15,0.03975009527900729
HILO_13_21,0.03944980352574693
ISA_9,0.03904950756671668
SUPERTl_7_3.0,0.039038202650029004
DCL_20_20,0.03898500821491666
PWMA_10,0.038921000501987255
ABER_ZG_5_15,0.03887565157823793
BBM_5_2.0_2.0,0.03885319034956613
FWMA_10,0.03885146690113073
ALMA_9_6.0_0.85,0.0385015874121158
ICS_26,0.03847428847878657
High,0.038350036497793116
SUPERTs_7_3.0,0.03810551811325805
JMA_7_0.0,0.0380837041164009
PIVOTS_TRAD_D_R2,0.0379333299794549
PIVOTS_TRAD_D_R1,0.03779823191768652
PSARl_0.02_0.2,0.03768624138017739
PIVOTS_TRAD_D_R3,0.03767463572746062
PIVOTS_TRAD_D_R4,0.03767463572746062
LDECAY_1,0.03755353546621391
PVIe_255,0.037416492528348444
MIDPOINT_2,0.037377054653892176
MIDPRICE_2,0.037355867390212065
SMIs_5_20_5_1.0,0.03728945615926689
OHLC4,0.03728465579151879
HL2,0.037198948372939876
ZL_EMA_10,0.03717810837697416
HLC3,0.03716400611884365
VWAP_D,0.03716400611884365
WCP,0.03714783724374799
Close,0.03710450927629338
ABER_XG_5_15,0.036968046164313685
PIVOTS_TRAD_D_P,0.03691733487763123
DEMA_10,0.03687141156683142
Open,0.036590332377722266
HMA_10,0.036213762847415745
TEMA_10,0.03605417461145555
BBU_5_2.0_2.0,0.03599681760134606
Low,0.03590142112188075
ZIGZAGv_5.0%_10,0.0358964958958918
PIVOTS_TRAD_D_S1,0.03561056223893262
SUPERT_7_3.0,0.035330573028778164
BBL_5_2.0_2.0,0.03526781999346096
HWM_1,0.03509553783549593
HWMA_0.2_0.1_0.1,0.03509553783549593
LINREG_14,0.03502201803479088
